City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,przasnysz,53.0191,20.8803,20.25,81,100,0.9,PL,1717007817
82,tralee,52.2704,-9.7026,12.66,92,25,5.49,IE,1717007817
83,isernia,41.6002,14.2382,16.96,90,99,0.97,IT,1717007817
84,atafu village,-8.5421,-172.5159,29.42,71,7,5.2,TK,1717007818
85,belmonte,-15.8631,-38.8828,26.63,66,94,2.64,BR,1717007818
86,san antonio de pale,-1.4014,5.6325,26.84,88,52,3.85,GQ,1717007818
87,gobabis,-22.45,18.9667,14.89,26,0,5.6,NA,1717007818
88,bredasdorp,-34.5322,20.0403,20.04,40,100,2.68,ZA,1717007818
89,weligama,5.9667,80.4167,27.17,87,100,7.2,LK,1717007818
90,lorengau,-2.0226,147.2712,27.32,85,100,2.71,PG,1717007818
91,aykhal,66.0,111.5,13.46,63,19,2.38,RU,1717007525
92,kot addu,30.4692,70.9671,32.88,5,0,1.2,PK,1717007819
93,enchanted hills,35.3368,-106.593,27.76,37,2,2.24,US,1717007613
94,udachny,66.4167,112.4,16.36,54,92,3.37,RU,1717007819
95,port alfred,-33.5906,26.891,22.43,44,0,3.26,ZA,1717007819
